date,capacity,price,product
24.04.2022,12,329,IronWolf
24.04.2022,16,,IronWolf
24.04.2022,4,91.70,Red Plus
24.04.2022,6,161,Red Plus
24.04.2022,8,236,Red Plus
24.04.2022,10,283,Red Plus
24.04.2022,12,309,Red Plus
24.04.2022,14,379,Red Plus
25.04.2022,4,91,IronWolf
25.04.2022,6,166,IronWolf
25.04.2022,8,212,IronWolf
25.04.2022,10,276,IronWolf
25.04.2022,12,329,IronWolf
25.04.2022,16,,IronWolf
25.04.2022,4,91.70,Red Plus
25.04.2022,6,161,Red Plus
25.04.2022,8,237,Red Plus
25.04.2022,10,284,Red Plus
25.04.2022,12,309,Red Plus
25.04.2022,14,379,Red Plus
26.04.2022,4,91,IronWolf
26.04.2022,6,166,IronWolf
26.04.2022,8,270,IronWolf
26.04.2022,10,276,IronWolf
26.04.2022,12,329,IronWolf
26.04.2022,16,,IronWolf
26.04.2022,4,99,Red Plus
26.04.2022,6,161,Red Plus
26.04.2022,8,237,Red Plus
26.04.2022,10,284,Red Plus
26.04.2022,12,309,Red Plus
26.04.2022,14,379,Red Plus
27.04.2022,4,94.50,IronWolf
27.04.2022,6,166,IronWolf
27.04.2022,8,220,IronWolf
27.04.2022,10,276,IronWolf
27.04.2022,12,329,IronWolf
27.04.2022,16,,IronWolf
27.04.2022,4,99,Red Plus
27.04.2022,6,161,Red Plus
27.04.2022,8,237,Red Plus
27.04.2022,10,283,Red Plus
27.04.2022,12,309,Red Plus
27.04.2022,14,379,Red Plus
28.04.2022,4,94.50,IronWolf
28.04.2022,6,166,IronWolf
28.04.2022,8,219,IronWolf
28.04.2022,10,276,IronWolf
28.04.2022,12,329,IronWolf
28.04.2022,16,,IronWolf
